Time,timestamp,club,max_speed,tempo,speed,acc,rotation.x,rotation.y,rotation.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,pitch,roll,yaw,gravity.x,gravity.y,gravity.z
0,1727373991561,8i,11.192756461940000,4.2s : 11.4s,0.008676171803804530,0.007839416361053090,-0.01264302060008050,-0.01244221068918710,0.01367991603910920,-0.0017938613891601600,-0.0010911151766777000,0.007553011178970340,-0.03814873284105890,1.8091032331966500,3.0027339075430000,0.9710323214530950,0.03813948109745980,0.23588603734970100
0.01,1727373991571,8i,11.192756461940000,4.2s : 11.4s,0.010063507498724300,0.023352912223098100,0.002513454295694830,-0.005592293106019500,0.005758609622716900,-0.016422033309936500,0.01583005115389820,-0.005008473992347720,-0.03804266493958460,1.80901156627554,3.0027612806830800,0.971057653427124,0.038033489137888000,0.2357979267835620
0.02,1727373991581,8i,11.192756461940000,4.2s : 11.4s,0.012788124548234300,0.0294006013607146,0.0038152076303958900,-0.012089873664081100,0.0019585450645536200,-0.023765265941619900,0.01686840131878850,0.003881305456161500,-0.038087722759854000,1.8089239489897600,3.0026940602436600,0.9710766673088070,0.038078512996435200,0.2357124388217930
0.03,1727373991591,8i,11.192756461940000,4.2s : 11.4s,0.011093944949895900,0.01594561287431580,-0.003554451745003460,-0.005386963952332740,-0.00782883819192648,-0.00957190990447998,0.012690231204032900,0.0012645721435546900,-0.038191877384831600,1.808854056601190,3.002707848886800,0.9710893034935000,0.03818259388208390,0.2356436401605610
0.04,1727373991601,8i,11.192756461940000,4.2s : 11.4s,0.008870099296787510,0.013156643830585100,0.004355403129011390,-0.008636552840471270,-0.014138665981590700,-0.008127331733703610,0.008554082363843920,0.005819916725158690,-0.03831505118445690,1.8088781717158200,3.002738356751360,0.9710790514945980,0.038305677473545100,0.235665962100029
0.05,1727373991611,8i,11.192756461940000,4.2s : 11.4s,0.005060502376099910,0.011950115652519500,0.011012027971446500,0.000809147022664547,-0.022340670228004500,-0.0037221312522888200,0.011134132742881800,0.0022320598363876300,-0.03857332512774310,1.8088827285437900,3.0027107707582600,0.9710683226585390,0.03856376186013220,0.23566803336143500
0.06,1727373991621,8i,11.192756461940000,4.2s : 11.4s,0.0031422246807064500,0.014916177831867000,-0.008769134059548380,-0.00047289859503507600,-0.021114816889166800,0.0017861127853393600,0.012888424098491700,-0.007293194532394410,-0.03883339440683440,1.8089047572266000,3.002739598439930,0.971053421497345,0.03882363438606260,0.23568707704544100
0.07,1727373991631,8i,11.192756461940000,4.2s : 11.4s,0.0016872620773981000,0.010024942987228300,-0.02038557454943660,0.016897834837436700,-0.013349837623536600,0.0075827836990356400,-0.00046351179480552700,-0.00654110312461853,-0.03886443336165390,1.80915192906536,3.0029204673066600,0.9709941148757940,0.038854651153087600,0.2359268218278890
0.08,1727373991641,8i,11.192756461940000,4.2s : 11.4s,0.0019818061857228200,0.016664998879051500,-0.06409843266010280,-0.004608255345374350,-0.0007701298454776410,0.01595020294189450,0.0047352127730846400,-0.0009439140558242800,-0.03882314079123810,1.8093114640091900,3.0033350424883100,0.9709577560424810,0.03881338983774190,0.2360820472240450
0.09,1727373991651,8i,11.192756461940000,4.2s : 11.4s,0.0051212565074918700,0.024582433988165400,-0.056784436106681800,-0.018116075545549400,0.011980286799371200,0.017326831817627000,-0.01368226483464240,0.010810762643814100,-0.03873164423915400,1.8092108308494300,3.0039761744827000,0.9709851145744320,0.0387219600379467,0.23598521947860700
