timestamp,club,max_speed(mph),tempo,rotation.x,rotation.y,rotation.x,userAcceleration.x,userAcceleration.y,userAcceleration.z,speed(mph),acc
1727122109907,6i,7.948992412087448,0.1s : 0.5s,-2.5274620056152344,6.220479488372803,8.350326538085938,3.835155963897705,-0.07072316855192184,1.0162944793701172,2.643201033759278,3.968157948316616
1727122109917,6i,7.948992412087448,0.1s : 0.5s,-2.7834110260009766,6.63875150680542,8.888257026672363,4.167089462280273,0.26078248023986816,0.9780804514884949,3.64958332519543,4.288272782628374
1727122109927,6i,7.948992412087448,0.1s : 0.5s,-2.940650701522827,6.978423595428467,9.465550422668457,4.428464412689209,0.5617897510528564,1.0527780055999756,4.332601081866771,4.586419770138564
1727122109937,6i,7.948992412087448,0.1s : 0.5s,-3.15164852142334,7.310527801513672,9.903656959533691,4.625126838684082,0.8772452473640442,1.2619597911834717,4.807447994590166,4.873797288819309
1727122109957,6i,7.948992412087448,0.1s : 0.5s,-4.939775466918945,8.276823043823242,11.055832862854004,5.1146559715271,1.6663382053375244,1.2685191631317139,5.305772247530415,5.526801026713164
1727122109947,6i,7.948992412087448,0.1s : 0.5s,-3.7786331176757812,7.7804789543151855,10.414264678955078,4.867666721343994,1.212673544883728,1.3100414276123047,5.4882240629565855,5.184685620035331
1727122109977,6i,7.948992412087448,0.1s : 0.5s,-8.213212013244629,8.79731559753418,10.631434440612793,5.47581672668457,2.4460253715515137,1.8970973491668701,5.855820517892967,6.29019771507448
1727122109987,6i,7.948992412087448,0.1s : 0.5s,-10.914278030395508,8.499120712280273,10.876177787780762,5.649166107177734,2.7555832862854004,1.921655535697937,6.176386425150125,6.572600471047941
1727122109967,6i,7.948992412087448,0.1s : 0.5s,-5.925118446350098,8.125944137573242,10.891080856323242,5.305332183837891,2.132401943206787,1.491819143295288,6.196246488630872,5.909248004996955
1727122109997,6i,7.948992412087448,0.1s : 0.5s,-13.72648811340332,6.2186174392700195,10.680257797241211,5.985925197601318,3.310969114303589,2.13553786277771,6.504719183759499,7.166194171979145
1727122110017,6i,7.948992412087448,0.1s : 0.5s,-20.996583938598633,3.279003858566284,12.155048370361328,6.595019817352295,4.820437908172607,3.4684882164001465,7.005525329962075,8.874757378380757
1727122110027,6i,7.948992412087448,0.1s : 0.5s,-24.832378387451172,1.5580207109451294,12.110481262207031,7.096767902374268,5.711910247802734,4.244204044342041,7.552528485731018,10.050039866046944
1727122110037,6i,7.948992412087448,0.1s : 0.5s,-28.92453384399414,-1.4348565340042114,11.513364791870117,7.245016098022461,5.906914710998535,4.846672058105469,7.948992412087448,10.529583548385748
1727122110047,6i,7.948992412087448,0.1s : 0.5s,-33.69609069824219,-3.5186002254486084,9.469636917114258,6.583074569702148,5.201344013214111,5.651896953582764,7.856831711734069,10.116065910618392
1727122110057,6i,7.948992412087448,0.1s : 0.5s,-34.852439880371094,-5.7409820556640625,4.28787088394165,6.79654598236084,4.387984275817871,7.134062767028809,7.861832141585344,10.786208548840362
1727122110067,6i,7.948992412087448,0.1s : 0.5s,-28.58270263671875,-8.752073287963867,-0.8850080966949463,6.884374618530273,4.348231315612793,9.520936965942383,7.921278995564346,12.52796751958544
1727122110077,6i,7.948992412087448,0.1s : 0.5s,-23.786436080932617,-13.450567245483398,-2.124155044555664,5.804659366607666,6.743828296661377,10.833197593688965,7.448169611051139,14.01896788501583
1727122110087,6i,7.948992412087448,0.1s : 0.5s,-7.227766990661621,-4.657726764678955,-1.982022762298584,4.870419502258301,10.983181953430176,10.530484199523926,6.6777708969412215,15.976306501396227
1727122110097,6i,7.948992412087448,0.1s : 0.5s,-16.388959884643555,-14.69742488861084,-1.3848671913146973,3.6195356845855713,11.903461456298828,2.4574453830718994,5.610168287926418,12.68197425578374
1727122110107,6i,7.948992412087448,0.1s : 0.5s,-14.167900085449219,-9.615761756896973,-6.944248199462891,5.841544151306152,7.699835300445557,4.608983993530273,6.004481377083552,10.707653112529604
